Name,Meta Critic,Cost,Class,Country,Whiskey Type
Glenmorangie Milsean,8.45,$$$$$,SingleMalt-like,Scotland,Malt
Highland Park Dark Origins,8.45,$$$$,SingleMalt-like,Scotland,Malt
BenRiach 15yo Tawny Port Finish,8.44,$$$$,SingleMalt-like,Scotland,Malt
Blair Athol 12yo (F&F),8.44,$$$,SingleMalt-like,Scotland,Malt
Longrow Red 11yo Cabernet Sauvignon,8.44,$$$$$,SingleMalt-like,Scotland,Malt
Glenlivet Nadurra Oloroso,8.43,$$$$,SingleMalt-like,Scotland,Malt
Highland Park 12yo Saint Magnus,8.43,$$$$,SingleMalt-like,Scotland,Malt
Glentauchers 1991 18yo (Gordon & MacPhail),8.42,$$$$,SingleMalt-like,Scotland,Malt
Macallan 10yo Sherry Oak,8.42,$$$,SingleMalt-like,Scotland,Malt
Tyrconnell 10yo Sherry Cask Finish,8.42,$$$$,SingleMalt-like,Ireland,Malt
Balvenie 12yo Doublewood,8.41,$$$$,SingleMalt-like,Scotland,Malt
Dalmore Cigar Malt,8.41,$$$,SingleMalt-like,Scotland,Malt
Glenmorangie Lasanta,8.41,$$$,SingleMalt-like,Scotland,Malt
Lismore 21yo,8.4,$$$$$,SingleMalt-like,Scotland,Malt
Wemyss Malts The Spice King,8.4,$$$,SingleMalt-like,Scotland,Malt
Westland Sherry Wood,8.4,$$$$,SingleMalt-like,USA,Malt
Jura 21yo,8.39,$$$$$,SingleMalt-like,Scotland,Malt
Teeling Single Malt,8.38,$$$$,SingleMalt-like,Ireland,Malt
Aberlour 12yo Double Cask Matured,8.37,$$$,SingleMalt-like,Scotland,Malt
Bushmills Black Bush,8.37,$$,SingleMalt-like,Ireland,Blend
Writers Tears Red Head Single Malt,8.37,$$$,SingleMalt-like,Irish,Malt
Glen Moray Classic Port Cask finish,8.36,$$,SingleMalt-like,Scotland,Malt
GlenDronach 14yo Sauternes Cask Finish,8.36,$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Rocks,8.35,$$$$,SingleMalt-like,Scotland,Malt
